"project_acronym","project","main_researcher","institution","details_project","budget_project","date_start_project","date_end_project"
"CRIPTO","CRIPTO: Cryptography Research Involving Practical and Theoretical Outlooks","Nigel Smart","UNIVERSITY OF BRISTOL","In this project I will investigate four interrelated topics in cryptography from both a theoretical and practical perspective. Each topic is chosen such that it not only provides a testing ground for more general ideas, but it also is grounded in specific examples which can help guide the general principles. Each topic has the potential to make dramatic advances, both on the subject of cryptography itself and how it is used and deployed in the real world.

We will be investigating application domains as diverse as cloud computing, electronic voting, protocols for trusted computing and privacy preserving methodologies. Each topic will be tackled however with common tools of provable security, and testing via implementation. In addition we aim to extend the tool box of techniques available to the cryptographer in terms of analysis and development methodologies, by being guided by the above application domains.

This research will have a transformative affect on the subject of cryptography and how it is deployed in the real world. We aim to demonstrate that previous “blue-skies” research can have direct practical benefit in applications, by researching in a pipeline of theory-to-practice. In addition we aim to feed back the practical knowledge learned into new theoretical models which capture more realistically the scenarios faced in practice, thus making the pipeline two-way.

Finally, the proposal builds on a wealth of knowledge and experience built up at Bristol over the last ten years in these explicit sub-areas. My group at Bristol is not only the best place to execute this ambitious programme of work, but, due to the unique combination of theoretical and practical perspectives we offer, possibly the only place capable of working on these interrelated fronts.","2102041","2011-10-01","2016-09-30"
"CRITISUP2","Criticality and Dual Superfluidity","christophe SALOMON","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS","Low temperature matter exhibits a spectacular variety of highly ordered states that occur through phase transitions. In quantum systems, phase transitions and associated critical phenomena constitute a central issue of modern physics. Wilson’s theory of renormalization showed that very different physical systems could be unified under the same universality class characterized by critical exponents. The high degree of control offered by ultracold atom experiments sets them as an ideal platform for the investigation of phase transitions and critical phenomena.
CRITISUP2 aims at exploring criticality in superfluid spin ½ Fermi gases where the interplay between temperature spin polarization and interactions is at the origin of a rich phase diagram and a variety of phase transitions. We will measure the corresponding static and dynamic critical exponents, and search for the long-sought Fulde-Ferrell-Larkin-Ovchinnikov (FFLO) phase predicted over 50 years ago. We will also study the phase diagram and critical counterflow of dual Bose-Fermi superfluids which have emerged as a new paradigm of quantum matter. Cutting-edge Bold Diagrammatic Monte Carlo and new resummation methods, developed in-house, will be confronted to the experiments on the one hand, and provide answers to debated questions on the other.
The expected outcomes of CRITISUP2 will constitute a major leap forward relevant for several fields of modern physics, ranging from condensed-matter to astrophysics, nuclear physics, and high energy physics.","2246536","2017-05-01","2022-04-30"
"CRITMAG","Critical Behaviour in Magmatic Systems","Jonathan David Blundy","UNIVERSITY OF BRISTOL","Crustal magmatism is periodic on a very wide range of timescales from pulses of continental crustal growth, through formation of granite batholiths, to eruptions from individual volcanic centres. The cause of this periodicity is not understood. I aim to address this long-standing geological problem through a combination of experiments, petrological methods and numerical models via a novel proposal that periodicity arises because of the highly non-linear ( critical ) behaviour of magma crystallinity with temperature in a series of linked crustal magma reservoirs. The ultimate objective is to answer five fundamental questions: &quot; Why is crustal magmatism episodic? &quot; How are large batholiths formed of rather similar magmas over long periods of time? &quot; How do large bodies of eruptible magma develop that can lead to huge, caldera-forming eruptions? &quot; What controls the chemistry of crustal magmas? Why are some compositions over-represented relative to others? &quot; What is the thermal structure beneath volcanic arcs and how does it evolve with time? The project will address these questions through case studies of three contrasted active volcanoes: Nevado de Toluca, Mexico; Soufriere St Vincent, Lesser Antilles; and Mount Pinatubo, Philippines. For each volcano I will use experimental petrology to constrain the phase relations of the most recently erupted magma as a function of pressure, temperature, volatile content and oxygen fugacity in the shallow, sub-volcanic storage region. I will also carry out high-pressure phase equilibria on coeval Mg-rich basaltic rocks from each area with the aim of constraining the lower crustal conditions under which the shallow magmas were generated and use diffusion chronometry to constrain the frequency of magmatic pulses in the sub-volcanic reservoirs. The project will result in a quantum leap forwards in how experimental and observational petrology can be used to understand magmatic behaviour beneath hazardous volcanoes","2959518","2010-04-01","2015-03-31"
"CROSS","Cryogenic Rare-event Observatory with Surface Sensitivity","Andrea Ernesto Guido GIULIANI","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS","CROSS will set the grounds for large-scale experiments searching for neutrinoless double beta decay with zero background at an exposure scale of ~1 tonne x year and with very high energy resolution – about 1.5‰ – in the region of interest. These features will enable searching for lepton number violation with unprecedented sensitivity, penetrating in prospect the direct-ordering region of the neutrino masses. CROSS will be based on arrays of TeO2 and Li2MoO4 bolometers enriched in the isotopes of interest 130Te and 100Mo, respectively. There are strong arguments in favor of these choices, such as the high double beta transition energy of these candidates, the easy crystallization processes of TeO2 and Li2MoO4, and the superior bolometric performance of these compounds in terms of energy resolution and intrinsic purity. The key idea in CROSS is to reject surface events (a dominant background source) by pulse-shape discrimination, obtained by exploiting solid-state-physics phenomena in superconductors. The surfaces of the crystals will be coated by an ultrapure superconductive aluminium film, which will act as a pulse-shape modifier by delaying the pulse development in case of shallow energy depositions, exploiting the long quasi-particle life-time in aluminium. This method will allow getting rid of the light detectors used up to now to discriminate surface alpha particles, simplifying a lot the bolometric structure and achieving the additional advantage to reject also beta surface events, which unfortunately persist as an ultimate background source if only alpha particles are tagged. The intrinsic modularity and the simplicity of the read-out will make CROSS easily expandable. The CROSS program is focused on an intermediate experiment with 90 crystals, installed underground in the Canfranc laboratory, which will be not only extremely competitive in the international context but also a decisive step to demonstrate the enormous potential of CROSS in terms of background.","3146598","2018-01-01","2022-12-31"
"CROWDED-PRO-LIPIDS","Computational Perspective to Dynamical Protein-Lipid Complexes under Crowded Conditions","Ilpo Tapio Vattulainen","TTY-SAATIO","""One of the great challenges is to understand how cellular functions emerge in cell membrane systems. Unlocking this mystery is the key to the vast majority of human diseases. The current view is based on a static picture where membrane proteins in protein-poor membranes interact with a few specific lipids, while in reality the situation is much more complicated. This ambitious project aims for a breakthrough by changing the present paradigm. The objective is to focus on the dynamical interplay between lipids and proteins under crowded conditions, paving the way for understanding the dynamics of lipid-protein complexes and their resulting functions. The objectives are outstanding and contain a high risk, with exceptional gain. The main goal is better understanding of the physical principles that give rise to cellular functions, with a strong impact to clarify the relevance of dynamical lipid-protein interactions in cellular processes related to health and disease. For this purpose, the grand themes chosen for this project are lipoproteins coupled to cardiovascular disease (“good” and “bad” cholesterol) and the function of especially cholesterol and glycolipids with membrane proteins. In order to meet these goals, the applicant employs state-of-the-art simulation techniques that comprise quantum-mechanical, classical atomistic and coarse-grained simulation methods to elucidate the complex biological phenomena associated with lipid-protein systems. The simulations cover atomistic and molecular details, over time scales from femtoseconds up to milliseconds. The theory & simulation group lead by PI comprises expertise in a truly cross- and multi-disciplinary manner, and it strongly collaborates with some of the leading experimental teams in biomedical sciences, cell biology, structural biology, and membrane biophysics.""","1920334","2012-05-01","2017-04-30"
"CryptoCloud","Cryptography for the Cloud","David Daniel Rene Pointcheval","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS","Many companies have already started the migration to the Cloud and many individuals share their personal informations on social networks. Unfortunately, in the current access mode, the provider first authenticates the client, and grants him access, or not, according to his rights in the access-control list. Therefore, the provider itself not only has total access to the data, but also knows which data are accessed, by whom, and how: privacy, which includes secrecy of data (confidentiality), identities (anonymity), and requests (obliviousness), should be enforced.

The industry of the Cloud introduces a new implicit trust requirement: nobody has any idea at all of where and how his data are stored and manipulated, but everybody should blindly trust the providers. Privacy-compliant procedures cannot be left to the responsibility of the provider: however strong the trustfulness of the provider may be, any system or human vulnerability can be exploited against privacy. This presents too huge a threat to tolerate. The distribution of the data and the secrecy of the actions must be given back to the users. It requires promoting privacy as a global security notion.

A new generation of secure multi-party computation protocols is required to protect everybody in an appropriate way, with privacy and efficiency: interactive protocols will be the core approach to provide privacy in practical systems.

Privacy for the Cloud will have a huge societal impact since it will revolutionize the trust model: users will be able to make safe use of outsourced storage, namely for personal, financial and medical data, without having to worry about failures or attacks of the server. It will also have a strong economic impact, conferring a competitive advantage on Cloud providers implementing these tools.","2168261","2014-06-01","2019-05-31"
"CRYTERION","Cryogenic Traps for Entanglement Research with Ions","Rainer Blatt","UNIVERSITAET INNSBRUCK","Quantum computers offer a fundamentally new way of information processing. Within the scope of this proposal, quantum information processing with an ion trap quantum computer will be investigated. With the new combination of cryogenic technology and ion traps for quantum computing we intend to build a quantum information processor with strings of up to 50 ions and with two-dimensional ion arrays for an investigation of deterministic many-particle entanglement. The cryogenic traps will be applied for quantum simulations, for fundamental investigations concerning large-scale entanglement and for precision measurements enhanced by quantum metrology techniques employing entangled particles.","2200000","2008-12-01","2013-11-30"
"CRYVISIL","Crystalline and vitreous silica films and their interconversion","Hans-Joachim Freund","MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV","Silicon is the most abundant element in the earth’s crust. Its oxide, silica (SiO2) is the basis for most minerals of the earth’s crust, and also for a number of technological applications ranging from window glass, via electronics to catalysis. The structure of crystalline materials such as quartz or silica-based minerals is well understood due to the application of scattering techniques such as x-ray or neutron diffraction, for example, which allow accurate structure determinations. Silica, however, also forms glasses, which are amorphous or vitreous. Its structure is not well understood. In fact, diffraction techniques have only been able to deliver pair correlation functions, which reveal the density of a material around a given atom, but do not allow a detailed reconstruction of the atomic structure as in the case of crystalline materials. Until recently, a real space image of a silica glass with atomic resolution had not been recorded. Using scanning probe techniques applied to a thin silica film grown atomically flat on a metal substrate, it has been possible to reveal, for the first time, an atomically resolved image of vitreous silica. Both, a crystalline as well as a vitreous phase have been imaged. With this system, it is now possible to address the transition from a vitreous state to a crystal-line in real space by developing a scanning probe microscope that allows the study of its structure over a wide range of temperatures ranging from cryogenic temperatures to 1500 K. It is the purpose of this grant application to build such a device and apply it to the crystal-glass transition and the study of vibrational properties. This instrument may also be used to address a number of scientific problems related to other glass-formers, such as borates and the influence of silica modifications by atom doping, for example.","2484375","2016-01-01","2020-12-31"
"CUNDA","Causality Relations Using Nonlinear Data Assimilation","Peter Jan VAN LEEUWEN","THE UNIVERSITY OF READING","A major problem in understanding complex nonlinear geophysical systems is to determine which processes drive which other processes, so what the causal relations are. 

Several methods to infer nonlinear causal relations exist, but often lead to different answers, often perform hypothesis testing on causality, need long stationary time series, can be misleading if an unknown process drives the processes under study, or, if a numerical model is used, reflect model causality instead of real-world causality. Furthermore methods that use the governing evolution equations directly lead to intractable high-dimensional integrals.

In this proposal I will tackle these problems by firstly embedding causality into a Bayesian framework, moving from testing causality to estimating causality strength and its uncertainty in a systematic way. Knowledge from several causality methods can be combined, new knowledge can be brought in systematically, and time series can be short.   Furthermore, new knowledge can be incorporated into the existing knowledge basis, and 
several methods can be combined in a consistent manner. Secondly, a new formulation to infer causal strength exploring evolution equations that avoids high-dimensional integrals will be explored. Thirdly, numerical models are combined with observations by exploring fully nonlinear data assimilation to study real-world causality.

I will test the new techniques on simple models and then apply them to a high-resolution model 
of the ocean area around South Africa where the Southern Ocean, the Indian Ocean, and the Atlantic Ocean meet.
This area plays a crucial role in the global circulation of heat and salt by bringing warm and salty Indian Ocean
water into the Atlantic in a highly turbulent manner. The techniques allow to infer what sets this interocean transport, 
the turbulent local dynamics or the global climate-related dynamics, crucial for understanding 
the functioning of the ocean in the climate system.","2597754","2016-09-01","2021-08-31"
"CyberCare","Integrated Sensing Architectures and Tools for Health Care","Giovanni De Micheli","ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE","This proposal addresses high-risk, high-reward research of integrated sensing and computing architectures, as well as of models, methods and tools for their design and operation. Such architectures provide the bridge between bio-systems and information processing systems, where a bio-system is an abstraction of a human in terms of biophysical parameters. Breakthroughs in data acquisition, processing and decision making support will enable new smart-health applications.

The essential research goals of this proposal are: biophysical data acquisition by novel programmable integrated sensor arrays and their design and test using a modular and structured architecture; data processing in situ and/or remotely using application-specific hardware and/or embedded software; a new robust synthesis methodology for data processing units based on a new logic structure; models, abstractions and software tools for reasoning about the acquired data, to validate health conditions and/or to provide remedies (i.e., therapy). The results of this research will be embodied in a demonstrator showing the effectiveness of these combined technologies in first-aid medical care. 

The outcome of this research will have a deep and broad impact on health care, because it will improve diagnosis and therapy in a variety of cases. Namely, it will boost the quality and quantity of the acquired biophysical data, possibly in real time, by leveraging multiple sensing modalities and dedicated computing architectures. The use of formal methods for design, data evaluation and decision making support will enhance the quality of the diagnostic platforms and will ease their qualification and adoption. Moreover, the integration of sensing and electronics and their in-field programmability will reduce production cost and lower the barrier of adoption, thus providing for better and more affordable health care means.","2086740","2016-01-01","2020-12-31"
"CyberGenetics","Cybergenetics: Theory and Design Tools for Biomolecular Control Systems","Mustafa KHAMMASH","EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH","We propose to develop a new theory and design tools for the estimation and real-time control of living cells. The control systems designed using these tools will precisely and robustly steer the dynamic behavior of living cells in real time to achieve desired objectives.  Cells would be controlled either collectively at the population level, or individually as single cells. The control systems achieving this regulation will be realized either on a digital computer that is interfaced with living cells, or using de novo genetic circuits that are introduced into the cells where they are designed to function as molecular control systems. Our methods will explicitly confront the numerous challenges brought about by the special environment of the cell including nonlinearity, stochasticity, cell-to-cell variability, metabolic burden, etc. The theory and methods developed in this project will thus enable the systematic, rational, and effective feedback control of living cells at the gene level, and will lay the foundation for a new corresponding body of knowledge which we call ``Cybergenetics''.  It will also open new research directions in the areas of control theory and estimation.

We also propose to design three cybergenetic control systems, each addressing an important application in biotechnology or therapeutics. In the first, the controller will use light and nutrient supply to precisely regulate gene expression and cell growth in E. coli to achieve high protein and low biomass production rates. The second involves multiple feedback controllers regulating in parallel a large number of single stem cells, and leading to their differentiation to desired fates, e.g. beta cells, with potential for therapeutic applications. Finally, we will engineer into living cells dynamic molecular control systems. Such controllers can be used to monitor physiological variables and secrete biological effectors in a feedback fashion for the treatment of diseases like Type 1 diabetes.","2499887","2017-08-01","2022-07-31"
"D-TXM","Diffraction Based Transmission X-ray Microscopy","Henning Friis Poulsen","DANMARKS TEKNISKE UNIVERSITET","The aim of this project is to develop a diffraction based transmission X-ray microscope, d-TXM, for non-destructive structural characterization of polycrystalline materials such as metals, ceramics, semiconductors, dust, soil and rocks, and for R&D applications in e.g. the energy-, electronics- and environmental sectors. Uniquely, d-TXM will be able to visualise the grains inside 100 micrometer thick specimens with a spatial resolution of 10-30 nm. Up to a thousand grains may be mapped simultaneously in three dimensions with respect to morphology, phase, orientation and local stress-state. Furthermore, the method will be sufficiently fast to enable the acquisition of 3D movies of the time evolution of the structure in nano-materials and components during synthesis, processing or operation.
During the last decade the applicant pioneered and matured a set of X-ray based methods for 3D studies of polycrystals on the micrometre scale. For this achievement, he is recognized as a worldwide leading figure in X-ray instrumentation for structural materials, situated at a nodal point between materials, X-ray physics, applied mathematics and crystallography. The underlying vision of d-TXM is similar to this past work, but in terms of optics the microscopy approach is radically different and the spatial resolution will be two orders of magnitude better.
In this project, the scientific potential will be demonstrated by means of applications to selected issues in metallurgy. Being able to directly observe the evolution of the individual crystalline elements, our understanding of processes such as plasticity and phase evolution can be greatly enhanced.
Dissemination to other fields will take place via an advisory board of future users and a workshop. Continuity of the project is ensured by the technique being implemented at the European Synchrotron Research Facility.","2499860","2012-10-01","2017-09-30"
"D5S","Direct Statistical Simulation of the Sun and Stars","Steven Tobias","UNIVERSITY OF LEEDS","This proposal (D5S) addresses a key problem of astrophysics – the origin of magnetic activity in the sun and solar-type
stars. This is a problem not only of outstanding theoretical importance but also significant practical impact – solar activity has
major terrestrial consequences. An increase in activity can lead to an increase in the number and violence of solar flares and
coronal mass ejections, with profound consequences for our terrestrial environment, causing disruption to satellites and
power. Predictions of magnetic activity are highly desired by government and industry groups alike. A deep understanding of
the mechanisms leading to solar magnetic activity is required. The variable magnetic field is generated by a dynamo in the
solar interior. Though this mechanism is known to involve the interaction of magnetohydrodynamic (MHD) turbulence with
rotation, no realistic model for dynamo action currently exists. D5S utilises two recent significant breakthroughs to construct
new models for magnetic field generation in the sun and other solar-type stars. The first of these involves an entirely new
approach termed Direct Statistical Simulation (DSS) (developed by the PI), where the statistics of the astrophysical flows are
solved directly (enabling the construction of more realistic models). This approach is coupled to a breakthrough (recently
published by the PI in Nature) in our understanding of the physics of MHD turbulence at the extreme parameters relevant to
solar interiors. D5S also uses the methodology of DSS to provide statistical subgrid models for Direct Numerical Simulation
(DNS). This will increase the utility, fidelity and predictability of such models for solar magnetic activity. Either of these new
approaches, taken in isolation, would lead to significant progress in our understanding of magnetic field generation in stars.
Taken together, as in this proposal, they will provide a paradigm shift in our theories for solar magnetic activity.","2499899","2018-10-01","2023-09-30"
"DAL","DAL: Defying Amdahl's Law","Andre Seznec","INSTITUT NATIONAL DE RECHERCHE ENINFORMATIQUE ET AUTOMATIQUE","Multicore processors have now become mainstream for both general-purpose and embedded computing. Instead of working on improving  the architecture of the  next generation multicore, with the DAL project, we deliberately anticipate the  next few generations of  multicores.

While multicores featuring 1000's of cores might become  feasible around 2020, there are strong indications that sequential programming style will continue to be dominant. Even future mainstream parallel applications will exhibit large sequential sections.  Amdahl's law  indicates that high performance on these sequential sections is needed to enable overall high performance on the whole application. On many (most) applications, the effective performance of future computer systems using a  1000-core processor chip  will significantly depend on their performance on both sequential code sections and single thread.

We envision that,  around 2020, the processor chips will feature a few complex cores  and many (may be 1000's) simpler, more silicon and power effective cores.

In the DAL  research project, we will explore the microarchitecture techniques that will be needed to enable high performance on such heterogeneous processor chips. Very high performance will be required on both sequential sections -legacy sequential codes, sequential sections of parallel applications- and critical threads on parallel applications -e.g. the main thread controlling the application.  Our research will  focus on enhancing single process performance. On the microarchitecture side, we will explore both a radically  new approach, the sequential accelerator,  and more conventional processor architectures. We will also study how to exploit heterogeneous multicore architectures to enhance  sequential thread performance.","2398542","2011-04-01","2016-03-31"
"DALDECS","Development and Application of Laser Diagnostic Techniques for Combustion Studies","Lars Eric Marcus Aldén","LUNDS UNIVERSITET","This project is directed towards development of new laser diagnostic techniques and a deepened physical understanding of more established techniques, aiming at new insights in phenomena related to combustion processes. These non-intrusive techniques with high resolution in space and time, will be used for measurements of key parameters, species concentrations and temperatures. The techniques to be used are; Non-linear optical techniques, mainly Polarization spectroscopy, PS. PS will mainly be developed for sensitive detection with high spatial resolution of &quot;new&quot; species in the IR region, e.g. individual hydrocarbons, toxic species as well as alkali metal compounds. Multiplex measurements of these species and temperature will be developed as well as 2D visualization. Quantitative measurements with high precision and accuracy; Laser induced fluorescence and Rayleigh/Raman scattering will be developed for quantitative measurements of species concentration and 2D temperatures. Also a new technique will be developed for single ended experiments based on picosecond LIDAR. Advanced imaging techniques; New high speed (10-100 kHz) visualization techniques as well as 3D and even 4D visualization will be developed. In order to properly visualize dense sprays we will develop Ballistic Imaging as well as a new technique based on structured illumination of the area of interest for suppression of multiple scattering which normally cause blurring effects. All techniques developed above will be used for key studies of phenomena related to various combustion phenomena; turbulent combustion, multiphase conversion processes, e.g. spray combustion and gasification/pyrolysis of solid bio fuels. The techniques will also be applied for development and physical understanding of how combustion could be influenced by plasma/electrical assistance. Finally, the techniques will be prepared for applications in industrial combustion apparatus, e.g. furnaces, gasturbines and IC engines","2466000","2010-02-01","2015-01-31"
"DAMESYFLA","Electroweak Symmetry Breaking, Flavor and Dark
Matter: One Solution for Three Mysteries","Guido Martinelli","SCUOLA INTERNAZIONALE SUPERIORE DI STUDI AVANZATI DI TRIESTE","In the next five years, experiments will give us a unique opportunity to unravel the mysteries of Electroweak Symmetry Breaking, Flavor and Dark Matter. The LHC at CERN will push the Energy frontier well into the TeV region and shed light on electroweak symmetry breaking. The LHCb experiment,  super-B factories and other dedicated experiments, also in the lepton sector, will push forward the Intensity frontier and test the Standard Model description of flavor and CP violation with unprecedented accuracy.  Earth- and space-based experiments will push forward the Astroparticle frontier, in particular direct and indirect searches for Dark Matter. My goal is to identify a coherent explanation of the three mysteries, as complete and as unique as possible, by combining the vast information coming from the Energy, Intensity and  Astroparticle frontiers. This requires a global strategy, making use of highly qualified competences in the relevant branches of theory and phenomenology. I will put together some of the leading particle theorists operating in SISSA, Padua and Rome into a unique and extraordinarily strong team. The variety of competences,  ranging from phenomenological fits and data interpretation to unified models and fundamental theories, will be used to interpret the results coming from a wide range of experiments and to formulate a coherent framework to account for them. With the essential contribution of the researchers paid on the project funds, the project will catalyze results going much beyond what the team members could individually achieve. The main support requested to the ERC is for hiring six experienced researchers, the rest of the funds are for optimizing the effectiveness of the team and the research environment.","1439400","2011-04-01","2017-03-31"
"DAMIC-M","Unveiling the Hidden: A Search for Light Dark Matter with CCDs","Paolo PRIVITERA","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS","Dark matter (DM) is a ubiquitous yet invisible presence in our universe. It dictated how galaxies formed in the first place, and now moves stars around them at puzzling speeds. The DM mass in the universe is known to be five times that of ordinary matter; yet its true nature remains elusive. 

Weakly interacting massive particles (WIMPs), relics from the early universe, are a compelling explanation chased by sensitive experiments in deep underground laboratories. However, searches for heavy WIMPs (≈100 times the proton mass), the most theoretically natural candidates, have been so far unsuccessful. Nor has evidence for such heavy particles yet been found at the CERN Large Hadron Collider. Alternative scenarios are now under scrutiny, such as the existence of a hidden sector of lighter DM particles that interact, differently than WIMPs, also with electrons. 

DAMIC-M (Dark Matter In CCDs at Modane) will search beyond the heavy WIMP paradigm by detecting nuclear recoils and electrons induced by light DM in charge-coupled devices (CCDs). The 0.5 kg detector will be installed at the Laboratoire Souterrain de Modane, France. In this novel and unconventional use of CCDs, which are commonly employed for digital imaging in astronomical telescopes, the ionization charge will be detected in the most massive CCDs ever built with exquisite spatial resolution (15 μm x 15 μm pixel). The crucial innovation in these devices is the non-destructive, repetitive measurement of the pixel charge, which results in the high-resolution detection of a single electron and unprecedented sensitivity to light DM (≈ eV energies are enough to free an electron in silicon). By counting individual charges in a detector with extremely low leakage current – a combination unmatched by any other DM experiment – DAMIC-M will take a leap forward of several orders of magnitude in the exploration of the hidden sector, a jump that may be rewarded by serendipitous discovery.","3349563","2018-09-01","2023-08-31"
"DAMOCLES","Simulating Non-Equilibrium Dynamics of Atmospheric Multicomponent Clusters","Hanna Vehkamäki","HELSINGIN YLIOPISTO","Atmospheric aerosol particles play a key role in regulating the climate, and particulate matter is responsible for most of the 7 million deaths per year attributed to air pollution. Lack of understanding of aerosol processes, especially the formation of ice crystals and secondary particles from condensable trace gases, hampers the development of air quality modelling, and remains one of the major uncertainties in predicting climate. 
The purpose of this project is to achieve a comprehensive understanding of atmospheric nanocluster and ice crystal formation based on fundamental physico-chemical principles. We will use a wide palette of theoretical methods including quantum chemistry, reaction kinetics, continuum solvent models, molecular dynamics, Monte Carlo simulations, Markov chain Monte Carlo methods, computational fluid dynamics, cluster kinetic and thermodynamic models. We will study non-equilibrium effects and kinetic barriers in atmospheric clustering, and use these to build cluster distribution models with genuine predictive capacity.
Chemical ionization mass spectrometers can, unlike any other instruments, detect the elemental composition of many of the smallest clusters at ambient low concentrations. However, the charging process and the environment inside the instrument change the composition of the clusters in hitherto unquantifiable ways. We will solve this problem by building an accurate model for the fate of clusters inside mass spectrometers, which will vastly improve the amount and quality of information that can be extracted from mass spectrometric measurements in atmospheric science and elsewhere.
DAMOCLES will produce reliable and consistent models for secondary aerosol and ice particle formation and growth. This will lead to improved predictions of aerosol concentrations and size distributions, leading to improved air quality forecasting, more accurate estimates of aerosol indirect climate forcing and other aerosol-cloud-climate interactions.","2390450","2016-06-01","2021-05-31"
"DAMREG","Pushing the Frontier of Brittlness
Damage Resistant Glasses","Tanguy Gilles Michel Rouxel","UNIVERSITE DE RENNES I","""In order to improve the strength of a glass part (flat display, window, lens, fiber, etc.), most investigations so far were devoted to thermal and chemical surface treatments aimed at generating compressive stresses at the surface. The DAMREG project focuses on the incidence of the glass composition and atomic network structure on the mechanical properties, and specifically on the cracking and fracture behavior, and is based on the experience and expertise of the PI on the structure-property relationships in glass science. This project proposes to address the fundamental issue of glass brittleness in a new paradigm of thinking, questioning the usefulness of the standard fracture toughness parameter, with emphasis on the surface flaw generation process (multiscale approach), and aims at determining novel routes to improve the mechanical performance of glass further promoting innovative applications. DAMREG involves revisiting the fundamental fracture mechanics concepts, the preparation of novel glass compositions, and nanoscale physico-chemical and mechanical characterization. So far most glass fracture studies focused on the crack tip behavior, and were limited to vitreous silica. A crack acts as a lever arm for the stress so that the singular stress at the tip is proportional to the crack length and inversely proportional to the square-root of the tip radius (provided this has a meaning). Since a crack can hardly be cured or shielded at ambient, the presence of a sharp crack is already detrimental. On the contrary to this approach, DAMREG is aimed at understanding the crack initiation process, and the main objective is to define some roadmap to design glasses (composition, thermo-mechanical treatments etc.) with better damage (initiation) resistance.""","1821596","2013-06-01","2018-05-31"
"DARCLIFE","Deep subsurface Archaea: carbon cycle, life strategies, and role in sedimentary ecosystems","Kai-Uwe Hinrichs","UNIVERSITAET BREMEN","Archaea are increasingly recognized as globally abundant organisms that mediate important processes controlling greenhouse gases and nutrients. Our latest work, published in PNAS and Nature, suggests that Archaea dominate the biomass in the subseafloor. Their unique ability to cope with extreme energy starvation appears to be a selecting factor. Marine sediments are of crucial importance to the redox balance and climate of our planet but the regulating role of the deep biosphere remains one of the great puzzles in biogeochemistry. The unique and diverse sedimentary Archaea with no cultured representatives, so-called benthic archaea, are key to understanding this system. Their presumed ability to degrade complex recalcitrant organic residues highlights their relevance for the carbon cycle and as potential targets for biotechnology. I propose to study the role of benthic archaea in the carbon cycle and in the deep biosphere and to explore their life strategies. This task requires an interdisciplinary frontier research approach at the scale of an ERC grant, involving biogeochemistry, earth sciences, and microbiology. Central to my research strategy is the information contained in structural and isotopic properties of membrane lipids from benthic archaea, an area of research spearheaded by my lab. In-depth geochemical examination of their habitat will elucidate processes they mediate. Metagenomic analysis will provide a phylogenetic framework and further insights on metabolism. At the Archaeenzentrum in Regensburg, we will grow model Archaea under a set of environmental conditions and examine the impact on cellular lipid distributions in order to develop the full potential of lipids as proxies for studying nearly inaccessible microbial life. Attempts to enrich benthic archaea from sediments will complement this approach. This frontier research will constrain the role of benthic archaea in the Earth system and examine the fundamental properties of life at minimum energy.","2908590","2010-04-01","2015-03-31"
"DARE","Soil   Foundation   Structure  Systems Beyond  Conventional Seismic    Failure   Thresholds: Application  to  New  or  Existing Structures  and  Monuments","George Gazetas","NATIONAL TECHNICAL UNIVERSITY OF ATHENS - NTUA","The main goal of the proposed research is to investigate the possibility of allowing  below-ground  support systems to respond to strong seismic shaking by going beyond a number of  thresholds  that would conventionally imply failure and are today forbidden by codes. Such  thresholds  include : (a) sliding at the soil-foundation interface ; (b) separation and uplifting of a shallow foundation from the soils ; (c) mobilization of  bearing capacity   failure mechanism for shallow foundations ; (d) structural yielding of pile foundations ; (e) combination of some of the above.  Whereas under static loading conditions a slight  exceedance  of such thresholds leads to failure, the oscillatory nature of seismic shaking will  allow  such exceedances for a short period of time, with perhaps no detrimental or irreparable consequences.  The latter take the form of permanent foundation displacements, rotations, or  injuries , which the designer will aspire to confine within rational limits. The motivation and the need for this research has come from : (i) observations of actual behaviour in a variety of earthquakes ; conspicuous examples : the permanent tilting , overturning, and often survival of numerous buildings on extremely soft soil in Adapazari during the Kocaeli 1999 earthquake ; (ii) the foundation design of a number of critical structures (e.g., major bridge pier, air control tower, tall monuments, elevated water tanks,) against large seismic actions ; the disproportionately large overturning moment and/or base shear force of such slender structures can hardly be faced with today s conventional foundation methods, (iii) the need to seismically retrofit and rehabilitate older structures and historical monuments;  (iv) structural yielding of pile foundations is now detectable (thanks to technological advances), thus eliminating one of the reasons for avoiding it.","2399992","2008-12-01","2013-10-31"
