"project_acronym","project","main_researcher","institution","details_project","budget_project","date_start_project","date_end_project"
"EMPOWER","Medium Voltage Direct Current Electronic Transformer","Drazen DUJIC","ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE","More than a century ago, the invention of alternating current (AC) transformer has made AC the preferred choice over the direct current (DC) technologies. Line AC transformers are bulky but simple and reliable devices, made out of copper and iron, providing voltage adaptation and galvanic isolation in AC power systems. 

Currently, DC technology is increasing its presence in AC power systems, enabled by progress in semiconductor devices and power electronics based energy conversion. DC power distribution networks can effectively support energy transformation and high penetration of distributed energy resources and energy storage integration (both increasingly being DC by nature) in future energy systems. Despite this shift towards the DC power distribution networks, DC Transformer, offering AC transformer like features (and beyond) does not exist, either conceptually or practically.

To enable the next (r)evolution in power systems, the EMPOWER project will develop the DC Transformer, a novel, flexible, highly efficient, compact, and reliable conversion principle for seamless energy routing in high-power DC distribution networks. Through a holistic approach, novel concepts, integration and optimization, we will demonstrate new design paradigms for galvanically-isolated power conversion. Our approach relies on resonant conversion utilizing high-voltage semiconductor devices in combination with high-frequency magnetic materials. We propose a new approach for the DC Transformer, avoiding active power flow control and instead utilizing control effort for the safety and protection. The DC Transformer will unify functions of a power converter and a protection device into a single power electronics system, improving drastically the conversion efficiency, reliability and power density in future DC power distribution networks. The success of this project will place Europe at the edge of reliable, efficient and safe energy distribution and transmission technologies.","2198145","2019-06-01","2024-05-31"
"ENCOMOLE-2i","Endoscopic Comprehensive Optical Multimodal Molecular Intelligent Imaging","Robert Huber","UNIVERSITAT ZU LUBECK","Optical imaging has exceptional potential for medical diagnosis, because it can provide high spatial resolution and molecular contrast. However, for in vivo imaging in humans, the poor penetration of only a few millimetres is a major obstacle. Optical endoscopes solve this problem, but currently most of them only perform non-advanced, classical white light imaging. Also, the speed of current devices is not sufficient to comprehensively scan entire organs at microscopic resolution. Hence, medical imaging is still dominated by non-optical techniques like X-ray, ultrasound and magnetic resonance imaging.
The objective of ENCOMOLE-2i is to push the performance of advanced optical in vivo imaging techniques to cross the application threshold for clinical research and practice. An endoscopic multi-modal molecular imaging platform will be developed with unprecedented capabilities for the diagnosis of disease.
The hardware technology development includes three novel imaging modalities. Optical coherence tomography with line rates of several Megahertz will be used for comprehensive structural imaging over large areas. Time encoded stimulated Raman sensing, supported by a new type of two photon microscopy, will be used for guided and referenced molecular imaging. Combining these techniques into one system and interfacing it with a newly developed endoscope will generate great synergy. Moreover, the unique synchronization capabilities of these modalities enable a radically new strategy for more efficient data acquisition: The concept of adaptive “Intelligent Imaging”.
The goal is to develop a universal endoscopy platform which can then be specifically tailored to the individual application. In the project the focus is on gastrointestinal imaging. The synergy between technological and algorithmic advances in ENCOMOLE-2i will break ground for more optical in vivo imaging in clinical research and routine, which can finally lead to improved diagnosis of many types of disease.","1998530","2016-01-01","2020-12-31"
"ENERCAPSULE","Nanoencapsulation for Energy Storage and Controlled Release","Dzmitry Shchukin","THE UNIVERSITY OF LIVERPOOL","The main vision of the project ENERCAPSULE is the development of nanoencapsulation technologies based on switchable nanoscale barriers for novel generation of controlled energy storage and delivery systems. These systems will be based on the “smart” nanocontainers (size below 200 nm) loaded with the energy-enriched active components: materials for thermal energy (both latent and based on chemical reactions) storage and substances for bioenergy (ATP or its components) storage for synthetic biology platforms. First novelty of the proposed project is the protection of the nanoscaled energy-enriched materials against environment during storage and controlled release of the encapsulated energy on demand only using both inherent properties of nanocontainer shell or biomimetic nanovalves introduced as shell components. Another main objective of the project is to study the structure and surface-to-volume properties of the energy enriched materials dispersed and encapsulated on nanoscale. The questions of stability of energy nanomaterials, influence of the nanocontainer shell on their energy capacity, homogeneity and operation lifetime will be investigated. Polymer organic nanocapsules with hollow interior and mesoporous carbon nanoparticles are chosen in the project as main types of the nanocontainer scaffolds for energy-enriched materials due to their high loading capacity and potential to design their shells to attain them controlled permeability properties. At the end of the project, developed novel energy storage and delivery systems will be combined within one network having several mechanisms for release and uptake of energy, which can be activated depending on type and intensity of the external impact (demand). The potential applications of such multienergy storage systems will be tested by industrial companies supporting the project.","2004500","2015-09-01","2020-08-31"
"ENFORCE","ENgineering FrustratiOn in aRtificial Colloidal icEs:degeneracy, exotic lattices and 3D states","pietro TIERNO","UNIVERSITAT DE BARCELONA","Geometric frustration, namely the impossibility of satisfying competing interactions on a lattice, has recently
become a topic of considerable interest as it engenders emergent, fundamentally new phenomena and holds
the exciting promise of delivering a new class of nanoscale devices based on the motion of magnetic charges.
With ENFORCE, I propose to realize two and three dimensional artificial colloidal ices and investigate the
fascinating manybody physics of geometric frustration in these mesoscopic structures. I will use these soft
matter systems to engineer novel frustrated states through independent control of the single particle
positions, lattice topology and collective magnetic coupling. The three project work packages (WPs) will
present increasing levels of complexity, challenge and ambition:
(i) In WP1, I will demonstrate a way to restore the residual entropy in the square ice, a fundamental longstanding
problem in the field. Furthermore, I will miniaturize the square and the honeycomb geometries and investigate the dynamics of thermally excited topological defects and the formation of grain boundaries.
(ii) In WP2, I will decimate both lattices and realize mixed coordination geometries, where the similarity
between the colloidal and spin ice systems breaks down. I will then develop a novel annealing protocol based
on the simultaneous system visualization and magnetic actuation control.
(iii) In WP3, I will realize a three dimensional artificial colloidal ice, in which interacting ferromagnetic
inclusions will be located in the voids of an inverse opal, and arranged to form the FCC or the pyrochlore
lattices. External fields will be used to align, bias and stir these magnetic inclusions while monitoring in situ
their orientation and dynamics via laser scanning confocal microscopy.
ENFORCE will exploit the accessible time and length scales of the colloidal ice to shed new light on the
exciting and interdisciplinary field of geometric frustration.","1850298","2020-01-01","2024-12-31"
"ENGAGES","Next generation algorithms for grabbing and exploiting symmetry","Pascal Schweitzer","TECHNISCHE UNIVERSITAET KAISERSLAUTERN","Symmetry is a phenomenon that appears in many different contexts. 
Algorithmic symmetry detection and exploitation is the concept of finding intrinsic symmetries of a given object and then using these symmetries to our advantage. Application areas of algorithmic symmetry detection and exploitation range from convolutional neural networks in machine learning to computer graphics, chemical data bases and beyond. 
In contrast to this widespread use, our understanding of the theoretical foundation (namely the graph isomorphism problem) is incomplete and current algorithmic symmetry tools are inadequate for big data applications. Hence, EngageS addresses these key challenges in the field using a systematic approach to the theory and practice of symmetry detection. It thereby also fixes the existing lack of interplay between theory and practice, which is part of the problem.

EngageS' main aims are to tackle the classical and descriptive complexity of the graph isomorphism problem and to design the next generation of symmetry detection algorithms. As key ideas to resolve the complexity, EngageS offers three  new approaches on how to prove lower bounds and a new method to settle the descriptive complexity.

EngageS will also develop practical symmetry detection algorithms for big data, exploiting parallelism and memory hierarchies of modern machines, and will introduce the concept of and a road map to exploiting absence of symmetry. Overall EngageS will establish a comprehensive software library that will serve as a  platform for integrated research on the algorithmic treatment of symmetry.

In summary, EngageS will develop fast, efficient and accessible symmetry detection tools that will be used to solve complex algorithmic problems in a range of fields including combinatorial algorithms, generation problems, and canonization.","1999094","2019-03-01","2024-02-29"
"ENLIGHTENED","Nanophotonic Nanomechanical Mass Spectrometry for Biology and Health","Sébastien Claude Hentz","COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES","« Mass Spectrometry has become a routine analytical tool in modern biological research, and has gained in recent years a foothold in the realm of clinical diagnostic and screening. However, it is still costly, complex and because its principle relies on ionization, it is incapable of analyzing biomolecules with masses greater than a few MDa. Averaging more than 100 million particles per measurement, it is also incapable of characterizing the diversity of such heavy entities. ENLIGHTENED aims at demonstrating a breakthrough concept based on Photonic Nano-Mechanical Mass Spectrometry, able to perform analysis of bioparticles of high biomedical significance, of ultra-high mass, never so far characterized, with single-molecule sensitivity and unprecedented resolution. The long-term vision beyond the current proposal is to provide the biologists with a tool which will be transformative for fundamental knowledge, and to make possible cheap, handheld devices for personalized medicine.
ENLIGHTENED proposes to use photons to shed light on unexplored species at the individual level, which is of high biomedical significance and will expand our understanding of simple life forms.”","1999090","2014-06-01","2020-05-31"
"ENSURE","Exploring the New Science and engineering unveiled by Ultraintense ultrashort Radiation interaction with mattEr","Matteo Passoni","POLITECNICO DI MILANO","With the ENSURE project I aim at attaining ground-breaking results in the field of superintense laser-driven ion acceleration, proposing a multidisciplinary research program in which theoretical, numerical and experimental research will be coherently developed in a team integrating in an unprecedented way advanced expertise from materials engineering and nanotechnology, laser-plasma physics, computational science. The aim will be to bring this topic from the realm of fundamental basic science into a subject having realistic engineering applications.
The discovery in 2000 of brilliant, multi-MeV, collimated ion sources from targets irradiated by intense laser pulses stimulated great interest worldwide, due to the ultra-compact spatial scale of the accelerator and ion beam properties. The laser-target system provides unique appealing features to fundamental physics which can be studied in a small lab. At the same time, laser-ion beams could have future potential in many technological areas. This is boosting the development of new labs and facilities all over Europe, but to support these efforts, crucial challenges need to be faced to make these applications a reality.
The goals of ENSURE are: i) design and production of nanoengineered targets, with properties tailored to achieve optimized ion acceleration regimes. This will be pursued exploiting advanced techniques of material science & nanotechnology ii) design of laser-ion beams for novel, key applications in nuclear and materials engineering iii) realization of engineering-oriented ion acceleration experiments, in advanced facilities iv) synergic development of all the required theoretical support for i,ii,iii).
The results of the project can determine a unique impact in the research on laser-driven ion acceleration in Europe, providing new directions to support the attainment, in the next future, of concrete applications of great societal relevance, in medical, energy and materials areas.","1887500","2015-09-01","2020-08-31"
"ENUBET","Enhanced NeUtrino BEams from kaon Tagging","Andrea Longhin","ISTITUTO NAZIONALE DI FISICA NUCLEARE","ENUBET has been designed to open a new window of opportunities in accelerator neutrino physics.  

The proposed project enables for the first time the measurement of the positrons produced in the decay tunnel of conventional neutrino beams: these particles signal uniquely the generation of an electron neutrino at source. 
Neutrino facilities enhanced by the ENUBET technique will have an unprecedented control of the neutrino flux. This will allow to reduce by one order of magnitude the uncertainties on neutrino cross sections: a leap that has been sought after since decades and that is needed to address the challenges of discovering matter-antimatter asymmetries in the leptonic sector.

The apparatus is a highly specialized electromagnetic calorimeter with fast response, sustaining particle rates as high as 0.5 MHz/cm^2, having excellent electron/pion separation capabilities with a reduced number of read-out channels. ENUBET will boost technologies that have been envisaged for high energy colliders to address this new challenge. On the other hand it will operate in a substantially different configuration. The experiment will be performed at the CERN Neutrino Platform, a recently approved facility where innovative neutrino detectors will be developed exploiting dedicated hadron beam-lines from the SPS accelerator. In the first phase of the project, ENUBET will address the challenges of particle identification from extended sources, developing innovative optical readout systems and cost-effective solutions for radiation imaging. This approach is based on cutting-edge technologies for single photon sensitive devices. During the second phase, the detector will be assembled and characterized at CERN with particle beams. Finally, it will be operated in time coincidence with Liquid Argon neutrino detectors, achieving a major step towards the realization of the concept of tagging individual neutrinos both at production and interaction level, on an event-by-event basis.","2000000","2016-06-01","2021-05-31"
"EPGR","The Evolution Problem in General Relativity","Jérémie Szeftel","SORBONNE UNIVERSITE","General relativity has been introduced by A. Einstein in 1915. It is a major theory of modern physics and at the same time has led to fascinating mathematical problems. The present proposal focusses on two aspects of the evolution problem for the Einstein equations which has been initiated by the pioneering work of Y. Choquet-Bruhat in 1952.

The Einstein equations form a nonlinear system of partial differential equations of hyperbolic type whose complexity raises significant challenges to its mathematical analysis. The goal of this project is to strengthen our understanding of two important themes concerning the evolution problem in general relativity. On the one hand, the control of low regularity solutions of the Einstein equations, a topic which is intimately linked with the celebrated cosmic censorship conjectures of R. Penrose, a major open problem in the field. On the other hand, the question of the stability of particular solutions of the Einstein equations in the wake of the groundbreaking proof of the stability of the Minkowski space-time due to D. Christodoulou and S. Klainerman. These directions are extremely active and have recently led to impressive results. More specifically, this project proposes to consider the following two work packages

-Going beyond the bounded L2 curvature theorem. This result has been recently obtained by the PI in collaboration with S. Klainerman and I. Rodnianski and is the sharpest result in so far as low regularity solutions of the Einstein equations are concerned. Yet, the fundamental quest towards a scale invariant well-posedness criterion for the Einstein equations remains wide open.

-The black hole stability problem. This problem concerns the stability of the Kerr metrics which form a 2-parameter family of solutions to  the Einstein vacuum equations. Many results have been obtained concerning various versions of linear stability, but significant challenges remain in order to tackle the nonlinear stability result.","1455000","2017-05-01","2022-04-30"
"EPIC","Earth-like Planet Imaging with Cognitive computing","Olivier ABSIL","UNIVERSITE DE LIEGE","One of the most ambitious goals of modern astrophysics is to characterise the physical and chemical properties of rocky planets orbiting in the habitable zone of nearby Sun-like stars. Although the observation of planetary transits could in a few limited cases be used to reach such a goal, it is widely recognised that only direct imaging techniques will enable such a feat on a statistically significant sample of planetary systems. Direct imaging of Earth-like exoplanets is however a formidable challenge due to the huge contrast and minute angular separation between such planets and their host star. The proposed EPIC project aims to enable the direct detection and characterisation of terrestrial planets located in the habitable zone of nearby stars using ground-based high-contrast imaging in the thermal infrared domain. To reach that ambitious goal, the project will focus on two main research directions: (i) the development and implementation of high-contrast imaging techniques and technologies addressing the smallest possible angular separations from bright, nearby stars, and (ii) the adaptation of state-of-the-art machine learning techniques to the problem of image processing in high-contrast imaging. While the ultimate goal of this research can likely only be reached with the advent of giant telescopes such as the Extremely Large Telescope (ELT) around 2025, the EPIC project will lay the stepping stones towards that goal and produce several high-impact results along the way, e.g. by re-assessing the occurrence rate of giant planets in direct imaging surveys at the most relevant angular separations (i.e., close to the snow line), by conducting the deepest high-contrast imaging search for rocky planets in the alpha Centauri system, by preparing the scientific exploitation of the ELT, and by providing the first open-source high-contrast image processing toolbox relying on supervised machine learning techniques.","2178125","2019-05-01","2024-04-30"
"EPICODE","Programmable Readers, Writers, and Erasers of the Epigenetic Cytosine Code","Daniel SUMMERER","TECHNISCHE UNIVERSITAT DORTMUND","Human DNA contains two types of biologically instructive information: the canonical nucleobases A, G, T, C, and the epigenetic nucleobases mC, hmC, fC, and caC. Canonical nucleobases encode the identity of all RNAs and proteins that are synthesized by a cell, whereas epigenetic nucleobases regulate this synthesis. This regulation shapes the phenotype of cells, and its perturbation is a key trigger of cancer.
Canonical nucleobases can be decoded in a programmable manner by nucleic acids and their analogs via Watson-Crick-base pairing, and the simplicity of this recognition has enabled revolutionary developments in the biological sciences. In contrast, comparable developments in epigenetics have not yet been possible, since a molecular scaffold with  programmable recognition of epigenetic nucleobases does not exist. 
We will establish the first class of molecules capable of the expanded programmable recognition of both canonical and epigenetic DNA nucleobases in vitro and in vivo. This is based on transcription-activator-like effectors (TALEs) that consist of four types of concatenated modules, each of which recognizes a canonical nucleobase. We have recently reported the detection of single epigenetic nucleobases by TALEs. 
In this project, we will 
1. engineer a toolbox of TALE modules with selectivity for C, mC, hmC, fC, and caC,
2. employ them for TALE-based in vitro typing and profiling (reading) of cancer biomarker mC/hmC, and 
3. design photoactivatable TALE-fusions that enable the writing and erasing of mC at user-defined genomic loci in vivo with spatiotemporal resolution. This will provide the first insights into the dynamic effects of de novo editing on chromatin regulation, and enables the imprinting of regulatory states.
Given the central role of epigenetic nucleobases in cancer and the universality of our approach, this project will provide enabling and broadly applicable methodology for cancer epigenetics research, diagnosis and therapy.","1979679","2017-11-01","2022-10-31"
"EpiMech","Epithelial cell sheets as engineering materials: mechanics, resilience and malleability","Marino Arroyo Balaguer","UNIVERSITAT POLITECNICA DE CATALUNYA","The epithelium is a cohesive two-dimensional layer of cells attached to a fluid-filled  fibrous matrix, which lines most free surfaces and cavities of the body. It serves as a protective barrier with tunable permeability, which must retain integrity in a mechanically active environment. Paradoxically, it must also be malleable enough to self-heal and remodel into functional 3D structures such as villi in our guts or tubular networks. Intrigued by these conflicting material properties, the main idea of this proposal is to view epithelial monolayers as living engineering materials. Unlike lipid bilayers or hydrogels, widely used in biotechnology, cultured epithelia are only starting to be integrated in organ-on-chip microdevices. As for any complex inert material, this program requires a fundamental understanding of the structure-property relationships. (1) Regarding their effective in-plane rheology, at short time-scales epithelia exhibit solid-like behavior while at longer times they flow as a consequence of the only qualitatively understood dynamics of the cell-cell junctional network. (2) As for material failure, excessive tension can lead to epithelial fracture, but as we have recently shown, matrix poroelasticity can also cause hydraulic fracture under stretch. However, it is largely unknown how adhesion molecules, membrane, cytoskeleton and matrix interact to give epithelia their robust and flaw-tolerant resilience. (3) Regarding shaping 3D epithelial structures, besides the classical view of chemical patterning, mechanical buckling is emerging as a major morphogenetic driving force, suggesting that it may be possible design 3D epithelial structures in vitro by mechanical self-assembly. Towards understanding (1,2,3), we will combine a broad range of theoretical, computational and experimental methods. Besides providing fundamental mechanobiological understanding, this project will provide a framework to manipulate epithelia in bioinspired technologies.","1989875","2016-09-01","2021-08-31"
"EQEC","Engineering Quantum Error Correction","Barbara Terhal","TECHNISCHE UNIVERSITEIT DELFT","This proposal will advance the theory of quantum error correction towards its application in real physical devices, in particular superconducting transmon qubit systems. The research will result in proposals for experiments: how to use physical qubits to redundantly represent logical quantum information and how error information can be obtained and classically processed. The research will consider novel ways of using transmon qubits to achieve a universal fault-tolerant surface code architecture. The research will produce a design of a universal fault-tolerant architecture in which qubits are encoded in the electromagnetic field of a (microwave) cavity. Research will also focus on mathematical and numerical studies in quantum error correction which are technology-independent, but shed light on coding overhead, decoding efficiency and logical universality.","1786563","2016-04-01","2021-03-31"
"EQuO","Electron Quantum optics in quantum Hall edge channels","Gwendal Feve","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS","Quantum effects have been studied on photon propagation in the context of quantum optics since the second half of the last century. In particular, using single photon emitters, fundamental tests of quantum mechanics were explored by manipulating single to few photons in Hanbury-Brown and Twiss and Hong Ou Mandel experiments. 
 In nanophysics, there is a growing interest to translate these concepts of quantum optics to electrons propagating in nanostructures. Single electron emitters have been realized such that single elementary electronic excitations can now be manipulated in the analog of pioneer quantum optics experiments.
 Electron quantum optics goes beyond the mere reproduction of optical setups using electron beams, as electrons, being interacting fermions, differ strongly from photons. Contrary to optics, understanding the propagation of an elementary excitation requires replacing the single body description by a many body one. 
 The purpose of this proposal is to specifically explore the emergence of many body physics and its effects on electronic propagation using the setups and concepts of electron quantum optics. The motivations are numerous: firstly single particle emission initializes a simple and well controlled state. I will take this unique opportunity to test birth, life and death scenarii of Landau quasiparticles and observe the emergence of many-body physics. Secondly, I will address the generation of entangled few electrons quantum coherent states and study how they are affected by interactions. Finally, I will attempt to apply electron quantum optics concepts to a regime where the ground state itself is a strongly correlated state of matter. In such a situation, elementary excitations are no longer electrons but carry a fractional charge and obey fractional statistics. No manipulation of single quasiparticles has been reported yet and the determination of some quasiparticle characteristics, such as the fractional statistics remains elusive.","1997878","2015-10-01","2020-09-30"
"ERCC","Efficient Resource Constrained Cryptography","Eike Kiltz","RUHR-UNIVERSITAET BOCHUM","""Traditionally, cryptographic protocols were run on servers or personal computers which have large and easily scalable computational resources. For these applications there exist a large variety of well-established cryptographic systems. Right now, we are in the midst of the shift toward ubiquitous computing on resource constrained devices (RCDs): small devices with severe constraints in terms of computing power, code size, and network capacities. RCDs are used virtually everywhere: smart phones, bank cards, electronic ID-cards, medical implants, cars, RFIDs as bar code replacement, etc. Due to their computational constraints, many current cryptographic security solutions are no longer applicable to RCDs. Existing solutions are often “ad-hoc” and do not come with a formal security treatment.

The central objective of the ERCC project is to initiate an overarching formal treatment of cryptographic solutions for RCDs, particularly focusing on efficiency. The main conceptual novelty is to follow the concept of provable security. We intend to design new cryptographic protocols that have a mathematical proof of security (assuming the hardness of some mathematical problem) and are still competitive with constructions currently used on RCDs. While we certainly cannot hope that all our new provably secure constructions will be superior to existing ad-hoc constructions, recent preliminary research
results give rise to optimism. Concretely, we will base our new protocols on hard problems in ideal and structures lattices and we will study weaker (yet still realistic) security models for RCDs allowing for efficient instantiations.""","1874960","2014-11-01","2019-10-31"
"ErgComNum","Ergodic theory and additive combinatorics","Tamar Ziegler","THE HEBREW UNIVERSITY OF JERUSALEM","The last decade has witnessed a new spring for dynamical systems. The field - initiated by Poincare in the study of the N-body problem - has become essential in the understanding of seemingly far off fields such as combinatorics, number theory and theoretical computer science. In particular, ideas from ergodic theory played an important role in the resolution of long standing open problems in combinatorics and number theory. A striking example is the role of dynamics on nilmanifolds in the recent proof of Hardy-Littlewood estimates for the number of solutions to systems of linear equations of finite complexity in the prime numbers. The interplay between ergodic theory, number theory and additive combinatorics has proved very fruitful; it is a fast growing area in mathematics attracting many young researchers. We propose to tackle central open problems in the area.","1342500","2016-05-01","2021-04-30"
"EspLORE","Extending the science perspectives of linear wires of carbon atoms from fundamental research to emerging materials","Carlo Spartaco CASARI","POLITECNICO DI MILANO","EspLORE aims at addressing the potential of carbon-atom wires for developing novel functional coatings in an application-oriented approach. Carbon-atom wires, based on sp-hybridization, are the ultimate 1-dimensional carbon nanostructure (1-atom diameter) with functional properties strongly dependent on the wire length and termination. The design and control of the wire structure opens the way to build materials with tunable properties, which is at present a largely unexplored topic. The core concept of EspLORE is to exploit the present fundamental knowledge of carbon-atom wires as isolated molecules/nanostructures to explore the applied science and engineering of new materials in the form of thin film assemblies and nanocomposites, so to fill the large existing gap between basic science and engineering. To this aim the main challenging goals are: 
1) the controlled synthesis of wires; 
2) the development of strategies to assemble wires in thin films and nanocomposites; 
3) the exploration of potential use of wire-based materials in direct energy conversion devices (e.g. photovoltaics, water splitting, fuel cells).
The proposed methodology includes fabrication of wires by physical methods, their deposition/assembling on surfaces, and the experimental study of structural, electronic and optical properties. Structure-property relationship is investigated at a multiscale level, moving from the single wire level (atomic scale) to multi-wire interactions (nanoscale) and up to extended systems (macroscale). 
The outcomes of the project will put the foundations for the materials engineering of wire-based systems and their realistic implementation in advanced technological applications. These materials, able to provide complementary properties to graphene, will synergistically contribute to open new perspectives for an innovative ‘all-carbon’ approach to present and future challenges in many fields of engineering and technology.","1981875","2017-05-01","2022-04-30"
"ESTUARIES","Estuaries shaped by biomorphodynamics, inherited landscape conditions and human interference","Maarten Gabriel Kleinhans","UNIVERSITEIT UTRECHT","ESTUARIES are shallow coastal water bodies with river inflow shaped by biomorphological processes, with patterns of channels and shoals, sand/mud flats, tidal marshes, vegetated banks and peat. Development was influenced by early Holocene landscape that drowned under sealevel rise, and by human interference. 
Estuaries harbour highly productive natural habitats and are of pivotal economic importance for food production, access to harbours and urban safety. Accelerating sealevel rise, changing river discharge and interference threaten these functions, but we lack fundamental understanding and models to predict combined effects of biomorphological interactions, inherited landscape and changing drivers.
We do not understand to what extent present estuary planform shape and shoal patterns resulted from biomorphological processes interacting with inherited conditions and interference. Ecology suggests dominant effects of flow-resisting and sediment de/stabilising eco-engineering species. Yet abiotic physics-based models reproduce channel-shoal patterns surprisingly well, but must assume a fixed planform estuary shape. Holocene reconstructions emphasise inherited landscape- and agricultural effects on this planform shape, yet fossil shells and peat also imply eco-engineering effects.
My aims are to develop models for large-scale planform shape and size of sandy estuaries and predict past and future, large-scale effects of biomorphological interactions and inherited conditions.
We will significantly advance our understanding by our state-of-the-art eco-morphological model, my unique analogue landscape models with eco-engineers and a new, automated paleogeographic reconstruction of 10 data-rich Holocene estuaries on the south-east North Sea coast. We will systematically compare these to modelled scenarios with biomorphological processes, historic interference and inherited valley geometry and substrate. Outcomes will benefit ecology, archeology, oceanography and engineering","2000000","2015-12-01","2020-11-30"
"ESTYMA","Excited state quantum dynamics in molecular aggregates: a unified description from biology to devices","Alessandro Troisi","THE UNIVERSITY OF LIVERPOOL","The coherent dynamics of excitons in systems of biological interest and in organic materials can now be studied with advanced experimental techniques, including two dimensional electronic spectroscopy, with time resolution of few femtoseconds. The theory of open quantum systems, that should support the interpretation of these new experiments, has been developed in different contexts over the past 60 years but seems now very inadequate for the problems of current interest.  First of all, the systems under investigation are extremely complex and the most common approach, based on the development of phenomenological models, is often not very informative.  Many different models yield results in agreement with the experiments and there is no systematic way to derive these models or to select the best model among many.  Secondly, the quantum dynamics of excitons is so fast that one cannot assume that the dynamics of environment is much faster than the dynamics of the system, an assumption crucial for most theories.  A remedy to the current limitation is proposed here through the following research objectives.
(1) A general and automatic protocol will be developed to generate simple treatable models of the system from an accurate atomistic description of the same system based on computational chemistry methods.
(2) A professionally-written software will be developed to study the quantum dynamics of model Hamiltonians for excitons in molecular aggregates. This software will incorporate different methodologies and will be designed to be usable also by non-specialists in the theory of quantum open systems (e.g. spectroscopists, computational chemists).
(3) A broad number of problems will be studied with this methodology including (i) exciton dynamics in light harvesting complexes and artificial proteins and (ii) exciton dynamics in molecular aggregates of relevance for organic electronics devices.","1512873","2014-04-01","2019-03-31"
"ETASECS","Extremely Thin Absorbers for Solar Energy Conversion and Storage","Avner Rothschild","TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY","ETASECS aims at making a breakthrough in the development of photoelectrochemical (PEC) cells for solar-powered water splitting that can be readily integrated with PV cells to provide storage capacity in the form of hydrogen. It builds upon our recent invention for resonant light trapping in ultrathin films of iron oxide (a-Fe2O3), which enables overcoming the deleterious trade-off between light absorption and charge carrier collection efficiency. Although we recently broke the water photo-oxidation record by any a-Fe2O3 photoanode reported to date, the losses are still high and there is plenty of room for further improvements that will lead to a remakable enhancement in the performance of our photoanodes, reaching quantum efficiency level similar to state-of-the-art PV cells. ETASECS aims at reaching this ambitious goal, which is essential for demonstrating the competitiveness of PEC+PV tandem systems for solar energy conversion and storage. Towards this end WP1 will combine theory, modelling and simulations, state-of-the-art experimental methods and advanced diagnostic techniques in order to identify and quantify the different losses in our devices. This work will guide the optimization work in WP2 that will suppress the losses at the photoanode and insure optimal electrical and optical coupling of the PEC and PV cells. We will also explore advanced photon management schemes that will go beyond our current light trapping scheme by combining synergic optical and nanophotonics effects. WP3 will integrate the PEC and PV cells and test their properties and performance. WP4 will disseminate our progress and achievements in professional and public forums. The innovations that will emerge from this frontier research will be further pursued in proof of concept follow up investigations that will demonstrate the feasibility of this technology. Success along these lines holds exciting promises for ground breaking progress towards large scale deployment of solar energy.","2150000","2014-09-01","2019-08-31"
"Euler systems","Euler systems and the Birch--Swinnerton-Dyer conjecture","Sarah Zerbes","UNIVERSITY COLLEGE LONDON","The Birch--Swinnerton-Dyer conjecture, one of the Millennium Prize Problems, is one of the central unsolved problems in mathematics. It predicts a relation between the arithmetic of an elliptic curve and the properties of the L-function of the elliptic curve. Some special cases of the conjecture were proven by Kolyvagin; the main ingredient in his proof is an algebraic construction called an Euler system. Even though Euler systems are extremely powerful tools, so far only five examples are known to exist. I propose to construct several new examples of Euler systems, in order to prove new cases of the Birch--Swinnerton-Dyer conjecture. In particular, I believe the following theorem to be within reach:

Let A be either a modular elliptic curve over a (real or imaginary) quadratic number field, or a modular abelian surface over the rational numbers. If the L-value L(A, 1) is non-zero, then the Mordell--Weil group of A is finite (i.e. the Birch--Swinnerton-Dyer conjecture holds for A).","1070473","2015-07-01","2020-06-30"
"EvoStruc","The physics of antibiotic resistance evolution in spatially-structured multicellular assemblies","Rosalind Allen","THE UNIVERSITY OF EDINBURGH","The rise in bacterial infections that are resistant to antibiotic treatment poses a major global health challenge. Addressing this challenge is not just a clinical issue: understanding bacterial resistance evolution calls for an interdisciplinary approach, in which the development of new physics, in coordination with biology, chemistry and engineering, has a central role to play. In particular, statistical physics, to predict the stochastic emergence of drug-resistant mutants, must be integrated with soft matter and chemical physics, to understand the spatial organization of the bacterial populations within which this happens.

Bacterial infections are very often spatially heterogeneous. This is known to influence the outcome of antibiotic treatment – for example bacterial biofilms, which form on the surfaces of medical implants, are notoriously hard to remove. However, much less attention has been paid to the role of spatial structure in the evolution of drug resistance, i.e. the emergence and spread of genetically drug-resistant bacterial strains. 

I will lead a research programme which will for the first time uncover the two-way link between the emergence of spatial structure in bacterial multicellular assemblies and the evolution of drug resistance. The programme builds on my current theoretical, simulation and experimental work. I will first determine the basic principles of evolution in drug gradients using theoretical models, combined with experiments in a controlled, 1D geometry. I will then explore how these principles translate to the more realistic scenario of bacterial biofilms, where spatial structure and drug gradients are emergent properties, using advanced computer simulation methods and both confocal microscopy and evolution experiments. In the final part of the programme, I will use these insights to reveal optimization principles for the design of evolution-resistant surface coatings for applications in medical devices.","1826984","2016-06-01","2022-05-31"
