"project_acronym","project","main_researcher","institution","details_project","budget_project","date_start_project","date_end_project"
"COEVOLUTION","Black holes and their host galaxies: coevolution across cosmic time","Debora Sijacki","THE CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE","Galaxy formation is one of the most fascinating yet challenging fields of astrophysics. The desire to understand
galaxy formation has led to the design of ever more sophisticated telescopes which show a bewildering variety
of galaxies in the Universe. However, the degree to which an interpretation of this wealth of data can succeed
depends critically on having accurate and realistic theoretical models of galaxy formation. While cosmological
simulations of galaxy formation provide the most powerful technique for calculating the non-linear evolution of
cosmic structures, the enormous dynamic range and poorly understood baryonic physics are main uncertainties
of present simulations. This impacts on their predictive power and is the major obstacle to our understanding of
observational data. The objective of this proposal is to drastically improve upon the current state-of-the-art by i)
including more realistic physical processes, such as those occurring at the sphere of influence of a galaxy’s central
black hole and ii) greatly extending spatial dynamical range with the aid of a novel technique I have developed.
With this technique I want to address one of the major unsolved issues of galaxy formation: “How do galaxies and
their central black holes coevolve?” Specifically, I want to focus on three crucial areas of galaxy formation: a) How
and where the very first black holes form, what are their observational signatures, and when is the coevolution with
host galaxies established? b) Is black hole heating solely responsible for the morphological transformation and
quenching of massive galaxies, or are other processes important as well? c) What is the impact of supermassive
black holes on galaxy clusters and can we calibrate baryonic physics in clusters to use them as high precision
cosmological probes? The requested funding is for 50% of the PI’s time and three postdoctoral researchers to
establish an independent research group at the KICC and IoA, Cambridge.","1975062","2015-09-01","2020-08-31"
"COFLeaf","Fuel from sunlight: Covalent organic frameworks as integrated platforms for photocatalytic water splitting and CO2 reduction","Bettina Valeska Lotsch","MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV","The efficient conversion of solar energy into renewable chemical fuels has been identified as one of the grand challenges facing society today and one of the major driving forces of materials innovation.
Nature’s photosynthesis producing chemical fuels through the revaluation of sunlight has inspired generations of chemists to develop platforms mimicking the natural photosynthetic process, albeit at lower levels of complexity. While artificial photosynthesis remains a considerable challenge due to the intricate interplay between materials design, photochemistry and catalysis, the spotlights – light-driven water splitting into hydrogen and oxygen and carbon dioxide reduction into methane or methanol – have emerged as viable pathways into both a clean and sustainable energy future. With this proposal, we aim at introducing a new class of polymeric photocatalysts based on covalent organic frameworks, COFs, to bridge the gap between semiconductor and molecular systems and explore rational ways to design single-site heterogeneous photocatalysts offering both chemical tunability and stability. 
The development of a photocatalytic model system is proposed, which will be tailored by molecular synthetic protocols and optimized by solid-state chemical procedures and crystal engineering so as to provide insights into the architectures, reactive intermediates and mechanistic steps involved in the photocatalytic process, with complementary insights from theory. We envision the integration of various molecular subsystems including photosensitizers, redox shuttles and molecular co-catalysts in a single semiconducting COF backbone. Taking advantage of the hallmarks of COFs – molecular definition and tunability, crystallinity, porosity and rigidity – we describe the design of COF systems capable of light-induced hydrogen evolution, oxygen evolution and overall water splitting, and delineate strategies to use COFs as integrated platforms for CO2 capture, activation and conversion.","1497125","2015-09-01","2020-08-31"
"COGNIMUND","Cognitive Image Understanding: Image representations and Multimodal learning","Tinne Tuytelaars","KATHOLIEKE UNIVERSITEIT LEUVEN","One of the primary and most appealing goals of computer vision is to automatically understand the content of images on a cognitive level. Ultimately we want to have computers interpret images as we humans do, recognizing all the objects, scenes, and people as well as their relations as they appear in natural images or video. With this project, I want to advance the state of the art in this field in two directions, which I believe to be crucial to build the next generation of image understanding tools. First, novel more robust yet descriptive image representations will be designed, that incorporate the intrinsic structure of images. These should already go a long way towards removing irrelevant sources of variability while capturing the essence of the image content. I believe the importance of further research into image representations is currently underestimated within the research community, yet I claim this is a crucial step with lots of opportunities good learning cannot easily make up for bad features. Second, weakly supervised methods to learn from multimodal input (especially the combination of images and text) will be investigated, making it possible to leverage the large amount of weak annotations available via the internet. This is essential if we want to scale the methods to a larger number of object categories (several hundreds instead of a few tens). As more data can be used for training, such weakly supervised methods might in the end even come on par with or outperform supervised schemes. Here we will call upon the latest results in semi-supervised learning, datamining, and computational linguistics.","1538380","2010-02-01","2015-01-31"
"COGS","Capitalizing on Gravitational Shear","Sarah Louise Bridle","THE UNIVERSITY OF MANCHESTER","Our Universe appears to be filled with mysterious ingredients: 25 per cent appears to be dark matter, perhaps an as-yet undiscovered particle, and 70 per cent seems to be a bizarre fluid, dubbed dark energy, for which there is no satisfactory theory. Solving the dark energy problem is the most pressing question in cosmology today. It is possible that dark energy does not exist at all, and instead Einstein s theory of General Relativity is flawed. Cosmologists hope to measure the properties of the dark energy using the next generation of cosmological observations, in which I am playing a leading role. I believe the most promising technique to crack the dark energy problem is gravitational shear, in which images of distant galaxies are distorted as they pass through the intervening dark matter distribution. Analysis of the distortions allows a map of the dark matter to be reconstructed; by examining the dark matter distribution we uncover the nature of the apparent dark energy. However to capitalize on the great potential of gravitational shear we must measure incredibly small image distortions in the presence of much larger image modifications that occur in the measurement process. I am proposing a fresh look at this problem using an inter-disciplinary approach in collaboration with computer scientists. This grant would enable my team to play a central role in the key results from the upcoming Dark Energy Survey. We would further capitalize on the gravitational shear signal by moving away from the current dark energy bandwagon by instead focusing on testing General Relativity using novel approaches. Our work will produce results which will lead the next Einstein to solve the biggest puzzle in cosmology, and arguably physics.","1400000","2010-04-01","2016-03-31"
"COHEGRAPH","Electron quantum optics in Graphene","Séverin Preden Roulleau","COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES","Quantum computing is based on the manipulation of quantum bits (qubits) to enhance the efficiency of information processing. In solid-state systems, two approaches have been explored: 

• static qubits, coupled to quantum buses used for manipulation and information transmission,
• flying qubits which are mobile qubits propagating in quantum circuits for further manipulation.

 Flying qubits research led to the recent emergence of the field of electron quantum optics, where electrons play the role of photons in quantum optic like experiments. This has recently led to the development of electronic quantum interferometry as well as single electron sources. As of yet, such experiments have only been successfully implemented in semi-conductor heterostructures cooled at extremely low temperatures. Realizing electron quantum optics experiments in graphene, an inexpensive material showing a high degree of quantum coherence even at moderately low temperatures, would be a strong evidence that quantum computing in graphene is within reach.
One of the most elementary building blocks necessary to perform electron quantum optics experiments is the electron beam splitter, which is the electronic analog of a beam splitter for light. However, the usual scheme for electron beam splitters in semi-conductor heterostructures is not available in graphene because of its gapless band structure. I propose a breakthrough in this direction where pn junction plays the role of electron beam splitter. This will lead to the following achievements considered as important steps towards quantum computing:

• electronic Mach Zehnder interferometry used to study the quantum  coherence properties of graphene,
• two electrons Aharonov Bohm interferometry used to generate entangled states as an elementary quantum gate,
• the implementation of on-demand electronic sources in the GHz range for graphene flying qubits.","1500000","2016-05-01","2021-04-30"
"COHOMCODES","Robust Codes from Higher Dimesional Expanders","Tali Kaufman Halman","BAR ILAN UNIVERSITY","Error correcting codes play a fundamental role in computer science. Good codes are codes with rate and distance that are asymptotically optimal. Some of the most successful good codes are constructed using expander graphs. In recent years a new notion of {\em robust} error correcting codes, known as locally testable codes (LTCs), has emerged. Locally testable codes are codes in which a proximity of a vector to an error correcting code can be achieved by probing the vector in {\em constant} many locations (independent of its length). LTCs are at the heart of Probabilistically Checkable Proofs (PCPs) and their construction has been sought since the discovery of the PCP theorem in the early 1990s.

Despite 20 years of research, it is still widely open whether good locally testable codes exist. LTCs present completely new challenge to the field of error correcting codes. In the old paradigm a random code is a good code and the main focus was to construct explicit codes that imitate the random code. However, a random code is not an LTC. Thus, contrary to traditional codes, there are no natural candidates for LTCs. The known constructions of robust codes are ad hoc, and there is a lack of theory that explains their existence.

The goal of the current research plan is to harness the emerging field of higher dimensional expanders and their topological properties for a systematic study of robust error correcting codes. Higher dimensional expanders are natural candidates for obtaining robust codes since they offer a strong form of redundancy that is essential for robustness. Such form of redundancy is lacking by their one dimensional analogue (i.e., expander graphs). Hence, the known expander codes are not robust. We expect that our study will draw new connections between error correcting codes, high dimensional expanders, topology and probability that will shed new light on these fields, and in particular, will advance the constructing of good and robust codes.","1302000","2014-02-01","2020-01-31"
"COINFLIP","Coupled Organic Inorganic Nanostructures for Fast, Light-Induced Data Processing","Marcus Scheele","EBERHARD KARLS UNIVERSITAET TUEBINGEN","The main objective of this project is to design optical switches with a response time < 5 ps, a switching energy < 1 fJ/bit and compatibility with silicon technology to excel in high-speed data processing at low heat dissipation. This will be pursued by combining the chemistry of inorganic, nanocrystalline colloids and organic semiconductor molecules to fabricate thin films of organic-inorganic hybrid nanostructures. Optical switches play a pivotal role in modern data processing based on silicon photonics, where they control the interface between photonic optical fibers used for data transmission and electronic processing units for computing. Data transfer across this interface is slow compared to that in optical interconnects and high-speed silicon transistors, such that faster optical switching accelerates the overall speed of data processing of the system as a whole. By modifying the surface of the inorganic nanocrystals with conductive molecular linkers and self-assembly into macroscopic solid state materials, new electronic and photonic properties arise due to charge transfer at the organic/inorganic interface. The multiple optical resonances in these hybrid materials result in strong optoelectronic interactions with external light beams, which are exploited for converting photonic into electronic signals at unprecedented speed. A key concept here is an activated absorption mechanism, in which the nanocrystals act as sensitizers with short-lived excited states, which are activated by a first optical pump beam. Efficient charge transfer at the organic/inorganic interface temporarily creates additional resonances in the molecular linkers, which may be probed by a second optical beam for as long as the sensitizer is in its excited state. Utilizing nanocrystals with excited state lifetimes < 5ps will reward ultrafast response times to pave the way for novel optical switches and high-speed data processing rates for silicon photonics.","1497375","2019-02-01","2024-01-31"
"COLD","Climate Sensitivity of Glacial Landscape Dynamics","Dirk SCHERLER","HELMHOLTZ ZENTRUM POTSDAM DEUTSCHESGEOFORSCHUNGSZENTRUM GFZ","How do erosion rates in glacial landscapes vary with climate change and how do such changes affect the dynamics of mountain glaciers? Providing quantitative constraints towards this question is the main objective of COLD. These constraints are so important because mountain glaciers are sensitive to climate change and their deposits provide a unique history of Earths terrestrial climate that allows reconstructing leads and lags in the climate system.

The climate sensitivity of mountain glaciers is influenced by debris on their surface that impedes ice melting. Theoretical models of frost-related bedrock fracturing predict that rates of debris production are temperature-sensitive and that its supply to mountain glaciers increases during warming periods. Thus a previously unrecognized negative feedback emerges that lowers ice melt rates and potentially buffers part of the ice retreat due to warming. However, the temperature-sensitivity of debris production in glacial landscapes is poorly understood. Specifically, we lack robust erosion rate estimates for these landscapes, which are key for testing models of frost-related bedrock fracturing.

Here, I propose an innovative combination of new tools that capitalize on recent developments in cosmogenic nuclide geochemistry, landscape evolution modelling, and planetary-scale remote sensing analysis. I will use these tools to quantify headwall erosion rates in mountainous glacial landscapes and to gauge the sensitivity of mountain glaciers to variations in debris supply. Expected results will provide a basis for assessing the impacts of global warming, for improved predictions of valley glacier evolution, and for palaeoclimate interpretations of glacial landforms. COLD will focus on glacial landscapes, but the inverse modelling approach I will develop is applicable to any landscape on Earth and has the potential to fundamentally transform how we use cosmogenic nuclides to constrain Earth surface dynamics.","1499308","2018-01-01","2022-12-31"
"COLDNANO","UltraCOLD ion and electron beams for NANOscience","Daniel Comparat","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS","COLDNANO (UltraCOLD ion and electron beams for NANOscience), aspires to build novel ion and electron sources with superior performance in terms of brightness, energy spread and minimum achievable spot size. Such monochromatic, spatially focused and well controlled electron and ion beams are expected to open many research possibilities in material sciences, in surface investigations (imaging, lithography) and in semiconductor diagnostics. The proposed project intends to develop sources with the best beam quality ever produced and to assess them in some advanced surface science research domains. Laterally, I will develop expertise exchange with one Small and Medium Enterprise who will exploit industrial prototypes.

The novel concept is to create ion and electron sources using advanced laser cooling techniques combined with the particular ionization properties of cold atoms. It would then be first time that “laser cooling” would lead to a real industrial development.

A cesium magneto-optical trap will first be used. The atoms will then be excited by lasers and ionized in order to provide the electron source. The specific extraction optics for the electrons will be developed. This source will be compact and portable to be used for several applications such as Low Energy Electron Microscopy, functionalization of semi-conducting surfaces or high resolution Electron Energy Loss Spectrometry by coupling to a Scanning Transmission Electron Microscope.

Based on the knowledge developed with the first experiment, a second ambitious xenon dual ion and electron beam machine will then be realized and used to study the scattering of ion and electron at low energy.

Finally, I present a very innovative scheme to control the time, position and velocity of individual particles in the beams. Such a machine providing ions or electrons on demand would open the way for the “ultimate” resolution in time and space for surface analysis, lithography, microscopy or implantation.","1944000","2012-02-01","2017-01-31"
"ColDSIM","Cold gases with long-range interactions: 
Non-equilibrium dynamics and complex simulations","Guido Pupillo","CENTRE INTERNATIONAL DE RECHERCHE AUX FRONTIERES DE LA CHIMIE FONDATION","Cold gases of electronically excited Rydberg atoms and groundstate polar molecules have generated considerable interest in cold matter physics, by introducing for the first time many-body systems with interactions which are both long-range and tunable with external fields.  The overall objective of this proposal is (i) the development of theoretical ideas and tools for the understanding and control of non-equilibrium dynamics in these diverse systems and in their mixtures, including dissipative effects leading to cooling, and (ii) to analyse emerging fundamental phenomena in the classical and quantum regimes of strong interactions, leading to innovative simulations and experiments of complex classical and quantum systems. The project is divided into three parts, with strong overlap:
1)  Rydberg atom dynamics: The study of complex open-system dynamics in gases of laser-driven Rydberg atoms, including the study of the effects and control of dissipation and decoherence from spontaneous emission in strongly interacting gases.
2) Cooling of complex molecules in atom-molecule mixtures: The theoretical investigation of novel ways to perform cooling towards quantum degeneracy of generic, comparatively complex molecules, beyond bialkali ones, in mixtures of groundstate molecules and of Rydberg-excited atoms.
3) Simulations of strongly interacting many-body systems at the quantum/classical crossover: Atomistic characterization of formation and dynamics of formation of strongly correlated phases with long-range interactions.
For each of these subjects, the objectives are at the cutting edge of fundamental atomic and molecular science and technology.","1496400","2013-02-01","2018-01-31"
"collectiveQCD","Collectivity in small, srongly interacting systems","Korinna ZAPP","LUNDS UNIVERSITET","In collisions of heavy nuclei at collider energies, for instance at the Large Hadron Collider (LHC) at CERN, the energy density is so high that an equilibrated Quark-Gluon Plasma (QGP), an exotic state of matter consisting of deconfined quarks and gluons, is formed. In proton-proton (p+p) collisions, on the other hand, the density of produced particles is low. The traditional view on such reactions is that final state particles are free and do not rescatter. This picture is challenged by recent LHC data, which found features in p+p collisions that are indicative of collective behaviour and/or the formation of a hot and dense system. These findings have been taken as signs of QGP formation in p+p reactions. Such an interpretation is complicated by the fact that jets, which are the manifestation of very energetic quarks and gluons, are quenched in heavy ion collisions, but appear to be unmodified in p+p reactions. This is puzzling because collectivity and jet quenching are caused by the same processes. So far there is no consensus about the interpretation of these results, which is also due to a lack of suitable tools.
It is the objective of this proposal to address the question whether there are collective effects in p+p collisions. To this end two models capable of describing all relevant aspects of p+p and heavy ion collisions will be developed. They will be obtained by extending a successful description of p+p to heavy ion reactions and vice versa.
The answer to these questions will either clarify the long-standing problem how collectivity emerges from fundamental interactions, or it will necessitate qualitative changes to our interpretation of collective phenomena in p+p and/or heavy ion collisions.
The PI is in a unique position to accomplish this goal, as she has spent her entire career working on different aspects of p+p and heavy ion collisions. The group in Lund is the ideal host, as it is very active in developing alternative interpretations of the data.","1500000","2019-02-01","2024-01-31"
"CollectSwim","Individual and Collective Swimming of Active Microparticles","Sebastien MICHELIN","ECOLE POLYTECHNIQUE","Bacteria are tiny; yet their collective dynamics generate large-scale flows and profoundly modify a fluid’s viscosity or diffusivity. So do autophoretic microswimmers, an example of active microscopic particles that draw their motion from physico-chemical exchanges with their environment. How do such ``active fluids'' turn individual microscopic propulsion into macroscopic fluid dynamics? What controls this self-organization process? These are fundamental questions for biologists but also for engineers, to use these suspensions for mixing or chemical sensing and, more generally, for creating active fluids whose macroscopic physical properties can be controlled precisely.

Self-propulsion of autophoretic swimmers was reported only recently. Major scientific gaps impair the quantitative understanding of their individual and collective dynamics, which is required to exploit these active fluids. Existing models scarcely account for important experimental characteristics such as complex hydrodynamics, physico-chemical processes and confinement. Thus, these models cannot yet be used as predictive tools, even at the individual level.

Further, to use phoretic suspensions as active fluids with microscopically-controlled properties, quantitatively-predictive models are needed for the collective dynamics. Instead of ad-hoc interaction rules, collective models must be built on a detailed physico-mechanical description of each swimmer’s interaction with its environment.

This project will develop these tools and validate them against experimental data. This requires overcoming several major challenges: the diversity of electro-chemical processes, the confined geometry, the large number of particles, and the plurality of interaction mechanisms and their nonlinear coupling. 

To address these issues, rigorous physical, mathematical and numerical models will be developed to obtain a complete multi-scale description of the individual and collective dynamics of active particles.","1497698","2017-09-01","2022-08-31"
"COLLREGEN","Collagen scaffolds for bone regeneration: applied biomaterials, bioreactor and stem cell technology","Fergal Joseph O'brien","ROYAL COLLEGE OF SURGEONS IN IRELAND","Regenerative medicine aims to regenerate damaged tissues by developing functional cell, tissue, and organ substitutes to repair, replace or enhance biological function in damaged tissues. The focus of this research programme is to develop bone graft substitute biomaterials and laboratory-engineered bone tissue for implantation in damaged sites. At a simplistic level, biological tissues consist of cells, signalling mechanisms and extracellular matrix. Regenerative medicine/tissue engineering technologies are based on this biological triad and involve the successful interaction between three components: the scaffold that holds the cells together to create the tissues physical form, the cells that create the tissue, and the biological signalling mechanisms (such as growth factors or bioreactors) that direct the cells to express the desired tissue phenotype. The research proposed in this project includes specific projects in all three areas. The programme will be centred on the collagen-based biomaterials developed in the applicant s laboratory and will incorporate cutting edge stem cell technologies, growth factor delivery, gene therapy and bioreactor technology which will translate to in vivo tissue repair. This translational research programme will be divided into four specific themes: (i) development of novel osteoinductive and angiogenic smart scaffolds for bone tissue regeneration, (ii) scaffold and stem cell therapies for bone tissue regeneration, (iii) bone tissue engineering using a flow perfusion bioreactor and (iv) in vivo bone repair using engineered bone and smart scaffolds.","1999530","2009-11-01","2015-09-30"
"COLORAMAP","Constrained Low-Rank Matrix Approximations: Theoretical and Algorithmic Developments for Practitioners","Nicolas Benoit P Gillis","UNIVERSITE DE MONS","Low-rank matrix approximation (LRA) techniques such as principal component analysis (PCA) are powerful tools for the representation and analysis of high dimensional data, and are used in a wide variety of areas such as machine learning, signal and image processing, data mining, and optimization. Without any constraints and using the least squares error, LRA can be solved via the singular value decomposition. However, in practice, this model is often not suitable mainly because (i) the data might be contaminated with outliers, missing data and non-Gaussian noise, and (ii) the low-rank factors of the decomposition might have to satisfy some specific constraints. Hence, in recent years, many variants of LRA have been introduced, using different constraints on the factors and using different objective functions to assess the quality of the approximation; e.g., sparse PCA, PCA with missing data, independent component analysis and nonnegative matrix factorization. Although these new constrained LRA models have become very popular and standard in some fields, there is still a significant gap between theory and practice. In this project, our goal is to reduce this gap by attacking the problem in an integrated way making connections between LRA variants, and by using four very different but complementary perspectives: (1) computational complexity issues, (2) provably correct algorithms, (3) heuristics for difficult instances, and (4) application-oriented aspects. This unified and multi-disciplinary approach will enable us to understand these problems better, to develop and analyze new and existing algorithms and to then use them for applications. Our ultimate goal is to provide practitioners with new tools and to allow them to decide which method to use in which situation and to know what to expect from it.","1291750","2016-09-01","2021-08-31"
"COLORLANDS","COLOR Ordering Templated by Hierarchized Supramolecular Porous FlatLANDS","Davide Bonifazi","CARDIFF UNIVERSITY","The idea of this research project is to take advantage of molecular self-assembly to create a new generation of periodically-organized porous organic materials that, acting as specific molecular hosts, can structurally control the positioning of multiple functional guests on surfaces, opening new horizons toward the understanding and development of rationale protocols for the patterning of unprecedented materials. Taking advantage of a supramolecular approach to engineer extended mono- and two-dimensional organic networks, the ultimate aim of COLORLANDS is to create novel hosting frameworks accommodating in a predetermined fashion organic chromophores and/or fluorophores. For instance, these can be oligophenylenes as blue emitters, cumarines/oligophenylethylenes as green emitters, or perylenebisimides conjugates as red emitters. Depending on their spatial organization, such materials will be the springboard for further technological development in the fields of electroluminescent devices or artificial leafs mimicking natural light harvesting antenna systems. The self-assembly of selected rigid molecular modules alternatively functionalized with complementary connectors (PNA strands) will yield, under equilibrium conditions, one exclusive structural pattern. This will feature controllable (in shape, size and chemical nature) periodic receptor sites, each programmed to selectively accommodate a specific molecular chromophore and/or fluorophore. Particular attention will be given to the design and fundamental understanding of specific orthogonal interactions between the self-assembled receptor sites and the functional molecular guests. This will be achieved through the lateral organic functionalization of the PNA strands with novel orthogonal H-bonding-based recognition motifs. Depending on the ratio between the different receptors, one can tailor the desired emission or absorption colour, virtually enabling unlimited surfing through the color coordinate diagram.","1295400","2012-01-01","2016-12-31"
"COLORTTH","The Higgs: A colored View from the Top at ATLAS","Reinhild Fatima Yvonne Peters","THE UNIVERSITY OF MANCHESTER","""With the ground-breaking discovery of a new, Higgs-like boson on July 4th, 2012, by the CMS and ATLAS collaborations at CERN, a new era of particle physics has begun. The discovery is the first step in answering an unsolved problem in particle physics, the question how fundamental bosons and fermions acquire their mass. One of the major goals in collider physics in the next few years will be the deeper insight into the nature of the new particle, its connection to the known fundamental particles and possible extensions beyond the standard model (SM) of particle physics.

My project aims at a particular interesting field to study, the relation of the new particle with the heaviest known elementary particle, the top quark. I aim to develop new, innovative techniques and beyond state-of-the-art methods to extract the Yukawa coupling between the top quark and the Higgs boson, which is expected to be of the order of one - much higher than that of any other quark. I will analyse the only process where the top-Higgs Yukawa coupling can be measured, in associated production of top quark pairs and a Higgs boson. The Higgs boson mainly decays into a pair of b-quarks. This is one of the most challenging channels at the LHC, as huge background processes from gluon splitting contribute.  In particular, I will develop and study color flow variables, which provide a unique, powerful technique to distinguish color singlet Higgs bosons from the main background, color octet gluons.

The ultimate goal of the project is the first measurement of the top-Higgs Yukawa coupling and its confrontation with SM and beyond SM Higgs boson models, resulting in an unprecedented insight into the fundamental laws of nature.

The LHC will soon reach a new energy frontier of 13 TeV starting in 2014. This new environment will provide never seen opportunities to study hints of new physics and precisely measure properties of the newly found particle. This sets the stage for the project.""","1163755","2014-02-01","2019-01-31"
"COLOURATOM","Colouring Atoms in 3 Dimensions","Sara Bals","UNIVERSITEIT ANTWERPEN","""Matter is a three dimensional (3D) agglomeration of atoms. The properties of materials are determined by the positions of the atoms, their chemical nature and the bonding between them. If we are able to determine these parameters in 3D, we will be able to provide the necessary input for predicting the properties and we can guide the synthesis and development of new nanomaterials.

The aim of this project is therefore to provide a complete 3D characterisation of complex hetero-nanosystems down to the atomic scale. The combination of advanced aberration corrected electron microscopy and novel 3D reconstruction algorithms is envisioned as a groundbreaking new approach to quantify the position AND the colour (chemical nature and bonding) of each individual atom in 3D for any given nanomaterial.

So far, only 3D imaging at the atomic scale was carried out for model-like systems. Measuring the position and the colour of the atoms in a complex nanomaterial can therefore be considered as an extremely challenging goal that will lead to a wealth of new information. Our objectives will enable 3D strain measurements at the atomic scale, localisation of atomic vacancies and interface characterisation in hetero-nanocrystals or hybrid soft-hard matter nanocompounds. Quantification of the oxidation states of surface atoms and of 3D surface relaxation will yield new insights concerning preferential functionalities.

Although these goals already go beyond the state-of-the-art, we plan to break fundamental limits and completely eliminate the need to tilt the sample for electron tomography. Especially for beam sensitive materials, this technique, so-called """"multi-detector stereoscopy"""", can be considered as a groundbreaking approach to obtain 3D information at the atomic scale. As an ultimate ambition, we will investigate the dynamic behaviour of ultra-small binary clusters.""","1461466","2013-12-01","2018-11-30"
"CombiCompGeom","Combinatorial Aspects of Computational Geometry","Natan Rubin","BEN-GURION UNIVERSITY OF THE NEGEV","The project focuses on the interface between computational and combinatorial geometry. 
Geometric problems emerge in a variety of computational fields that interact with the physical world.
The performance of geometric algorithms is determined by the description complexity of their underlying combinatorial structures. Hence, most theoretical challenges faced by computational geometry are of a distinctly combinatorial nature.

In the past two decades, computational geometry has been revolutionized by the powerful combination of random sampling techniques with the abstract machinery of geometric arrangements. These insights were used, in turn, to establish state-of-the-art results in combinatorial geometry. Nevertheless, a number of fundamental problems remained open and resisted numerous attempts to solve them. 

Motivated by the recent breakthrough results, in which the PI played a central role, we propose two exciting lines of study with the potential to change the landscape of this field.

The first research direction concerns the complexity of Voronoi diagrams -- arguably the most common structures in computational geometry. 

The second direction concerns combinatorial and algorithmic aspects of geometric intersection structures, including some fundamental open problems in geometric transversal theory. Many of these questions are motivated by geometric variants of general covering and packing problems, and all efficient approximation schemes for them must rely on the intrinsic properties of geometric graphs and hypergraphs.

Any progress in responding to these challenges will constitute a major breakthrough in both computational and combinatorial geometry.","1303750","2016-09-01","2021-08-31"
"COMBINEPIC","Elliptic Combinatorics: Solving famous models from combinatorics, probability and statistical mechanics, via a transversal approach of special functions","Kilian RASCHEL","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS","I am willing to solve several well-known models from combinatorics, probability theory and statistical mechanics: the Ising model on isoradial graphs, dimer models, spanning forests, random walks in cones, occupation time problems. Although completely unrelated a priori, these models have the common feature of being presumed “exactly solvable” models, for which surprising and spectacular formulas should exist for quantities of interest. This is captured by the title “Elliptic Combinatorics”, the wording elliptic referring to the use of special functions, in a broad sense: algebraic/differentially finite (or holonomic)/diagonals/(hyper)elliptic/ hypergeometric/etc.

Besides the exciting nature of the models which we aim at solving, one main strength of our project lies in the variety of modern methods and fields that we cover: combinatorics, probability, algebra (representation theory), computer algebra, algebraic geometry, with a spectrum going from applied to pure mathematics.

We propose in addition two major applications, in finance (Markovian order books) and in population biology (evolution of multitype populations). We plan to work in close collaborations with researchers from these fields, to eventually apply our results (study of extinction probabilities for self-incompatible flower populations, for instance).","1242400","2018-02-01","2023-01-31"
"COMBINISO","Quantitative picture of interactions between climate, hydrological cycle and stratospheric inputs in Antarctica over the last 100 years via the combined use of all water isotopes","Amaelle Israel","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS","Climate change and associated water cycle modifications have a strong impact on polar ice sheets through their influence on the global sea-level. The most promising tool for reconstructing temperature and water cycle evolution in Antarctica is to use water isotopic records in ice cores. Still, interpreting these records is nowadays limited by known biases linked to a too simple description of isotopic fractionations and cloud microphysics. Another key issue in this region is the stratosphere-troposphere flux influencing both the chemistry of ozone and decadal climate change. Data are lacking for constraining such flux even on the recent period (100 years). COMBINISO aims at making use of innovative methods combining measurements of the 5 major water isotopes (H217O, H218O, HTO, HDO, H2O) and global modelling to address the following key points: 1- Provide a strongly improved physical frame for interpretation of water isotopic records in polar regions; 2- Provide a quantitative picture of Antarctica temperature changes and links with the tropospheric water cycle prior to the instrumental period; 3- Quantify recent variability of the stratosphere water vapor input.
The proposed method, based on strong experimental – modelling interaction, includes innovative tools such as (1) the intensive use of the recently developed triple isotopic composition of oxygen in water for constraining water isotopic fractionation, hydrological cycle organisation and potentially stratospheric water input, (2) the development of a laser spectroscopy instrument to accurately measure this parameter in water vapour, (3) modelling development including stratospheric tracers (e.g. HTO and 10Be) in addition to water isotopes in Atmospheric General Circulation Models equipped with a detailed description of the stratosphere, (4) a first documentation of climate, hydrological cycle and stratospheric input in Antarctica through combined measurements of isotopes in ice cores for the last 100 years.","1869950","2013-01-01","2017-12-31"
"COMBIPATTERNING","Combinatorial Patterning of Particles for High Density Peptide Arrays","Alexander Nesterov-Mueller","KARLSRUHER INSTITUT FUER TECHNOLOGIE","We want to use selective laser melting to pattern a substrate with different solid micro particles at a density of 1 million spots per cm2. First, a homogeneous particle layer is deposited on a substrate and a pattern of micro spots of melted matrix is generated by laser radiation. Then, non-melted particles are blown away. Embedded within the particles are different chemically reactive amino acid derivatives that will start coupling to very small synthesis sites upon melting the particle pattern in an oven. This is done once all of the 20 different amino acid particles have been glued by laser patterning to the surface. Washing away uncoupled material, removing Fmoc protecting group, and repeating the patterning steps according to standard Merrifield synthesis, leads to the combinatorial synthesis of very high-density peptide arrays. The main objective of this proposal is to develop this method up to the level of a semi-automated synthesis machine. In addition, we will use the manufactured very high-density peptide arrays to readout the information that is deposited in the immune system, i.e. find a peptide binder for every one of the 200-500 antibody species that patrol the serum of an individual in elevated levels. These experiments might lead to novel tools to find out the causes of hitherto enigmatic diseases because then we might be able to correlate antibody patterns with disease status without knowing in advance the disease-specific antibodies. Beyond the life sciences, we want to embed 10.000 peptides per cm2 within an insulating layer of alkane thiols, each on a different gold pad of a specially designed screening chip. Then, we could readout I/V characteristics of individual peptide species, and eventually find peptide-based diodes. These could be modified in their sequence and screened again for better performance. This evolution-inspired screening approach might lead to novel materials that could be used in fuel cells.","1494600","2011-11-01","2016-10-31"
